Square_Footage,Bedrooms,Bathrooms,Age,Garage_Spaces,Lot_Size,Floors,Neighborhood_Rating,Condition,School_Rating,Has_Pool,Renovated,Location_Type,Distance_To_Center_KM,Days_On_Market,Price,Sold_Within_Week
3974,6,2,12,0,11043,2,1,4,1,0,1,Suburban,10.4,6,795000,1
4307,2,2.5,44,3,9493,1,5,6,6,1,0,Suburban,3.45,1,1024000,1
1660,4,3,31,2,6103,2,5,5,9,1,1,Suburban,43.81,136,700000,0
2094,4,2.5,33,2,4076,2,6,1,3,0,0,Urban,4.7,5,672000,1
1930,3,1.5,44,1,7231,1,8,6,3,0,0,Suburban,13.09,48,638000,0
1895,3,2,18,2,4994,1,10,1,2,1,0,Downtown,35.07,5,705000,1
3892,4,3.5,37,0,5744,1,1,3,4,1,0,Suburban,21.06,144,782000,0
2438,4,3,15,3,12948,2,4,10,10,1,0,Suburban,43.94,6,924000,1
2969,4,2.5,1,2,7594,2,10,5,3,1,0,Downtown,15.6,85,1016000,0
1266,5,2,39,1,9531,2,1,10,2,0,0,Rural,1.58,5,471000,1
2038,4,2,16,2,9371,1,9,5,1,0,0,Suburban,15.73,3,715000,1
1130,6,2.5,33,2,3644,2,7,10,3,0,1,Suburban,29.33,2,633000,1
2282,4,3,41,2,14563,2,7,6,10,0,0,Downtown,19.42,6,855000,1
2935,4,2.5,15,1,5144,1,5,10,6,0,1,Downtown,27.21,37,867000,0
4244,4,3,37,1,2242,2,7,8,9,0,0,Downtown,43.95,169,1060000,0
3971,2,3,1,1,6085,3,2,5,5,0,0,Suburban,45.71,1,964000,1
3719,4,1.5,1,1,9954,1,4,1,3,1,1,Suburban,14.03,,928000,1
930,3,2,25,3,9269,2,7,5,5,0,0,Urban,23.64,3,513000,1
2485,3,1.5,12,0,9130,1,3,3,5,0,0,Suburban,27.91,2,648000,1
4180,5,1.5,46,2,8828,2,2,4,5,0,1,Downtown,47.51,2,758000,1
1569,3,3,30,1,10362,1,10,8,7,0,0,Rural,49.93,5,619000,1
3191,3,2,33,2,10844,3,2,7,5,1,1,Suburban,12.53,68,878000,0
2315,4,2,38,2,8331,2,1,5,7,0,0,Suburban,36.62,1,610000,1
4285,4,1.5,2,3,5512,2,5,2,9,1,0,Suburban,19.52,30,935000,0
3653,3,2,7,1,3499,2,6,6,5,0,0,Suburban,1.4,6,887000,1
3233,4,1.5,22,2,12291,2,6,6,2,0,0,Suburban,1.45,37,832000,0
