track_name,artist,genre,playlist_category,danceability,energy,valence,tempo,duration_ms,popularity
Love Sky,Artist_464,Classical,Chill,0.375,0.374,0.73,149.34,329908,89
Fire Dream,Artist_221,Bollywood,Romantic,0.951,0.333,0.185,124.3,339603,91
Light Night,Artist_357,Jazz,Sleep,0.732,0.176,0.347,195.03,130658,87
Love Wave Night,Artist_389,Pop,Workout,0.599,0.607,0.663,90.66,90342,71
Fire Light,Artist_451,EDM,Workout,0.156,0.477,0.482,142.3,233893,48
Light Fire,Artist_164,Classical,Chill,0.156,0.866,0.739,158.03,232030,10
Fire Dance Sky,Artist_283,Rock,Sleep,0.058,0.032,0.961,175.58,83135,89
Dream Beat,Artist_60,EDM,Romantic,0.866,0.644,0.117,116.98,246597,54
Sky Dream Fire,Artist_225,Bollywood,Focus,0.601,0.763,0.71,156.17,179687,35
Night Wave Beat,Artist_332,Indie,Chill,0.708,0.759,0.23,102.45,128500,24
Heart Wave,Artist_314,Rock,Romantic,0.021,0.886,0.414,120.97,282072,49
Love Dance Night,Artist_51,Rock,Party,0.97,0.729,0.033,185.39,139114,42
Night Light Sky,Artist_342,Indie,Sleep,0.832,0.928,0.136,192.99,237457,75
Wave Fire Night,Artist_192,Indie,Sleep,0.212,0.333,0.32,160.63,149942,84
Fire Sky,Artist_373,EDM,Focus,0.182,0.503,0.342,112.41,257741,74
Fire Night,Artist_243,Jazz,Party,0.183,0.014,0.9,174.81,228078,50
Sky Dance Heart,Artist_281,Country,Party,0.304,0.007,0.742,63.62,65786,21
Heart Wave,Artist_88,Indie,Workout,0.525,0.24,0.972,74.38,88878,28
Sky Night,Artist_290,Hip-Hop,Chill,0.432,0.101,0.599,152.59,246796,92
Light Fire,Artist_31,Classical,Focus,0.291,0.26,0.242,100.77,166661,55
Dance Beat,Artist_361,EDM,Chill,0.612,0.177,0.328,193.19,271203,27
Light Fire Heart,Artist_169,Country,Focus,0.139,0.029,0.32,121.05,137484,97
Fire Love,Artist_91,Rock,Workout,0.292,0.909,0.326,120.11,292531,68
Beat Sky Night,Artist_378,Country,Travel,0.366,0.008,0.673,154.93,226675,99
Wave Heart,Artist_412,Indie,Workout,0.456,0.736,0.531,167.46,258693,84
Dance Beat,Artist_156,Pop,Focus,0.785,0.152,0.385,126.58,99837,6
Dream Sky Wave,Artist_304,Country,Sleep,0.2,0.912,0.149,89.96,345998,58
Light Wave,Artist_92,Country,Romantic,0.514,0.893,0.022,168.26,291761,6
Wave Beat Light,Artist_88,Classical,Focus,0.592,0.654,0.219,104.85,340905,60
Fire Dream Dance,Artist_44,Pop,Sleep,0.046,0.672,0.107,84.52,112009,81
Love Night,Artist_417,Indie,Travel,0.608,0.005,0.785,148.43,61455,19
Dream Beat,Artist_300,EDM,Travel,0.171,0.985,0.112,72.66,118332,61
Beat Wave,Artist_442,EDM,Chill,0.065,0.878,0.724,195.99,73682,17
Light Sky Love,Artist_60,Jazz,Chill,0.949,0.895,0.386,148.54,324034,49
Light Sky,Artist_330,Country,Travel,0.966,0.659,0.073,198.03,238278,3
Night Sky Beat,Artist_352,Pop,Workout,0.808,0.345,0.813,107.45,185362,34
Dance Love,Artist_53,EDM,Sleep,0.305,0.894,0.58,195.97,319979,62
Light Dream Night,Artist_334,Jazz,Chill,0.098,0.292,0.236,80.38,232681,60
Light Fire Dream,Artist_145,Bollywood,Chill,0.684,0.563,0.895,65.7,357340,68
Dream Light Love,Artist_82,EDM,Party,0.44,0.1,0.045,64.62,262817,87
Dance Love Night,Artist_293,Indie,Workout,0.122,0.922,0.202,125.08,154786,82
